Drink Name,Calories,Carbs,Protein,Fat
Teh C Bing,231,24,15,1
Teh,151,29,4,0.8
Kopi,141,26.7,2.3,2.8
Milo,124,20,3.4,3.4
Milo Dinosaur,270,42,7,8
Sugarcane juice ,192,52.2,0,0
Bandung,153,32,1.1,2
Teh Tarik,124,21.22,2.98,3.28
100 plus,72,18,0,0
Tiger Beer (100ml),42,3.4,0.4,0
Kopi O,67,14.9,0.5,0
Kopi C,117,20,1,3.6
Iced Lemon Tea,95,20.9,1,0.1
Honey Lemon Tea,134,36,0.2,0
Soursop Juice ,117,25,2.8,1.4
Kalamansi Juice,168,42,0,0
Chrysanthemun Juice ,12.2,1.54,1.71,0.3
Guava Juice ,143,38,0,0
Plum Juice ,57,13.3,0.5,0