Meal Name,Calories,Carbs,Proteins,Fats,Fiber
Chicken Rice (382g),607,75,25,23,2
Char Kway Teow (384g),744,76,23,29.2,7.3
Laksa,377,71,18,2,4
Hokkien Prawn Mee,522,69,18,19,4.4
Kaya Toast ,459,44.4,8,27.2,1.3
Mee Goreng (309g),500,61,18,20,4.4
Char Siew Rice (327g),605,91,24,16,5.9
Nasi lemak (210g),494,80,13,14,6.5
roti prata ,209,32,5,7,1.7
Pork Satay with Satay Sauce ,36,0.36,4.99,1.52,0
Nasi Goreng (1 cup),346,44.95,12.93,12.25,1.4
Wanton Mee (400g),555,96.79,15.1,14.13,13.8
Mala ,583,72.35,12.22,30.85,7
Oyster Omlette ,467,40.07,19.03,24.33,0.6
Pepper lunch ,500,50,40,11,4.6
Ban Mian (528g),475,48,22,22,3.2
Soup Kambeng,203.8,5.6,28.8,6.8,1.1
Durian (100g),147,27.09,1.47,5.33,3.8
Ice KaChang (504g),257,58,6,1,2
Tau Huay (282g),153,32.2,14.1,1.5,1
Chendol (368g),386,59,6,15,2